id,group,school,grade,bindcash,deltatime,combatscore,sex
0,0,5.411279,45.74553,222562.8831,22977060,86744.74966,0.923659
0,1,5.411133,23.572045,50374.59063,2149119,26594.80941,0.288004
0,2,5.457275,51.838337,352469.8152,84368370,125174.9723,1.277136
0,3,5.491607,49.578897,293812.6954,38045790,107085.942,1.144365
0,4,5.594203,46.463768,209409.0435,145198900,95554.50725,1
0,5,5.453599,51.734605,369998.6366,56143260,121448.3886,1.299219
0,6,5.403448,37.903775,133662.6753,10841270,56855.36374,0.621863
1,0,5.42806,24.938228,54475.31434,2442286,28808.28471,0.300785
1,1,5.493614,47.960304,240594.5885,27901180,97961.57957,0.957887
1,2,5.483212,52.007299,333275.9328,74170010,125297.1971,1.224818
1,3,5.511278,51.819549,311157.2556,121581400,122225.2932,1.255639
1,4,5.473082,40.814328,147042.5551,13043180,65943.09093,0.671895
1,5,5.166667,43.333333,140403.1667,349502000,64489.33333,0.833333
1,6,5.413951,51.294807,326830.8366,46358610,118785.028,1.164969
2,0,5.433242,23.083058,50293.27034,1849281,27217.77653,0.24322
2,1,5.496,49.880471,282509.208,34468640,109959.9816,1.025882
2,2,5.469945,52.32969,305528.6521,78707990,128218.3588,1.169399
2,3,5.550979,37.390874,113494.1948,9520312,55254.40359,0.480315
2,4,5.445736,52.096899,329119.1364,51950550,123863.2016,1.154264
2,5,5.590909,51.212121,276306.2273,134181700,118014.4697,1.212121
2,6,5.401909,45.738973,202073.0349,20432950,86203.43235,0.796577
3,0,5.47815,26.387046,61832.21883,2916102,33084.90544,0.282775
3,1,5.494194,52.937419,327024.1381,47788790,128708.7071,1.149677
3,2,5.431849,43.049523,169325.5913,14161270,76025.72626,0.643344
3,3,5.4,46.35,155648.025,160005500,87840.1,0.825
3,4,5.444106,49.517871,258850.3654,29063350,106455.2844,0.925095
3,5,5.487696,54.357942,360054.7136,78763330,140946.5257,1.268456
3,6,5.333333,38,161953.6667,414790700,70855,0.333333
,,,,,,,
,,5.166667,23.083058,50293.27034,1849281,26594.80941,0.24322
,,5.594203,54.357942,369998.6366,414790700,140946.5257,1.299219
